,Primary_Artist
Stevie Nicks,58
Doja Cat,58
Ready For The World,58
Jamie Foxx,58
Jerrod Niemann,58
Van Morrison,58
Neil Young,58
Boys Like Girls,58
The Manhattan Transfer,58
The Offspring,58
Hi-Five,58
Stray Cats,58
Steppenwolf,57
Raspberries,57
The Ventures,57
SHeDAISY,57
Lana Del Rey,57
Vertical Horizon,57
Unk,57
K-Ci,57
Tracy Lawrence,57
Jermaine Jackson,57
Cameo,57
Jamie O'Neal,57
Lukas Graham,57
DNCE,56
Lil Jon,56
Angie Stone,56
ABC,56
Teddy Pendergrass,56
Donna Lewis,56
Chad,56
Wet Willie,56
Gary Lewis And The Playboys,56
Erykah Badu,56
Brian Hyland,56
AC/DC,56
Glass Tiger,56
Golden Earring,55
Frankie Ballard,55
Mark Wills,55
Rita Coolidge,55
Duncan Sheik,55
Bert Kaempfert And His Orchestra,55
Blink-182,55
The Wanted,55
Aaron Hall,55
Jade,55
Teena Marie,55
Brownstone,55
Hootie,55
Gretchen Wilson,55
Chilliwack,55
Kevin Rudolf,55
Da Brat,54
Chamillionaire,54
Bobby Goldsboro,54
Chase Rice,54
Kevin Gates,54
Rose Royce,54
Bastille,54
a-ha,54
Anita Baker,54
Classics IV,53
Grand Funk Railroad,53
Morgan Wallen,53
Sage The Gemini,53
Nelson,53
Cherish,53
Patsy Cline,53
Keri Hilson,53
Jay Z,53
Thirty Eight Special,53
The Charlie Daniels Band,53
Quarterflash,53
Sergio Mendes,53
Mark Lindsay,53
Simple Plan,53
James Arthur,52
Donny,52
City High,52
"benny blanco, Halsey",52
Iyaz,52
Vixen,52
The Escape Club,52
James Brown,52
Isaac Hayes,52
Lords Of The Underground,52
Better Than Ezra,52
Sue Thompson,52
Silento,51
"10,000 Maniacs",51
Good Charlotte,51
Rachel Platten,51
Lighter Shade Of Brown,51
Carl Thomas,51
Soul For Real,51
The Partridge Family Starring Shirley Jones,51
Hilary Duff,51
Ray J,51
Cutting Crew,51
The Manhattans,51
Black Box,51
Thompson Square,51
Nat King Cole,51
Alexander O'Neal,51
Shalamar,51
Daya,51
Restless Heart,51
Jordan Davis,51
Snow Patrol,51
"Cardi B, Bad Bunny",51
Jackson 5,51
Leo Sayer,51
Avicii,50
Tone-Loc,50
Russell Dickerson,50
Keith Anderson,50
Hot Chelle Rae,50
Dee Dee Sharp,50
Gene Chandler,50
Midnight Star,50
Chuck Berry,50
Beastie Boys,50
Run-D.M.C.,50
Bobbie Gentry,50
Solo,50
Climax Blues Band,50
Sheila E.,49
Rupert Holmes,49
Whitesnake,49
Hanson,49
Stacy Lattisaw,49
Robert John,49
Level 42,49
Crystal Waters,49
Leona Lewis,49
A Flock Of Seagulls,49
B.o.B,49
Simple Minds,49
Dave Mason,49
Information Society,49
YG,49
Johnny Nash,49
"Blood, Sweat",49
John Michael Montgomery,49
Jimmy Eat World,49
Muse,49
Gloria Gaynor,49
Clarence Carter,49
Heather Headley,48
Adam Ant,48
The Lovin' Spoonful,48
Dishwalla,48
Kelly Price,48
Michael Johnson,48
Color Me Badd,48
Ricky Martin,48
David Cook,48
Blue October,48
New Order,48
Of Monsters And Men,48
Tori Amos,48
The Young Rascals,47
Sister Sledge,47
Steve Holy,47
The Meters,47
Ike,47
Fatboy Slim,47
Gary Wright,47
The Tony Rich Project,47
Jennifer Hudson,47
Del Amitri,47
Extreme,47
Far*East Movement,47
Terror Squad,47
Technotronic,47
Stephanie Mills,47
